trial_id,timestamp,sequence,M4D_score,peak_M4D,current_M4D,retention_percentage,decay_rate
16,2026-01-06T09:03:36.210922,standard,0.7994014373454161,1.758190763830964,0.7994014373454161,45.46727543964463,0.03475611308510111
17,2026-01-06T09:03:36.210924,standard,0.7609762592253086,1.758190763830964,0.7609762592253086,43.281780047985194,0.0340226125100753
18,2026-01-06T09:03:36.210926,standard,0.7243980809285503,1.758190763830964,0.7243980809285503,41.20133581808506,0.03331109756018889
19,2026-01-06T09:03:36.210929,standard,0.6895781219077408,1.758190763830964,0.6895781219077408,39.22089320985867,0.03262080696397208
20,2026-01-06T09:03:36.210931,standard,0.656431869068837,1.758190763830964,0.656431869068837,37.33564540166972,0.031951007948101684
21,2026-01-06T09:03:36.210933,standard,0.6248788716456083,1.758190763830964,0.6248788716456083,35.54101662347746,0.031300995117500306
22,2026-01-06T09:03:36.210982,standard,0.5948425459339505,1.758190763830964,0.5948425459339505,33.832651050778686,0.030670089380921264
23,2026-01-06T09:03:36.210984,standard,0.5662499894121212,1.758190763830964,0.5662499894121212,32.20640223238948,0.030057636920127334
24,2026-01-06T09:03:36.210986,standard,0.5390318037957398,1.758190763830964,0.5390318037957398,30.658323026406446,0.02946300820085125
25,2026-01-06T09:03:36.210988,standard,0.5131219265980779,1.758190763830964,0.5131219265980779,29.184656019920403,0.02888559702380296
26,2026-01-06T09:03:36.210994,standard,0.4884574707868177,1.758190763830964,0.4884574707868177,27.781824409229976,0.028324819614061726
27,2026-01-06T09:03:36.210996,standard,0.4649785721480969,1.758190763830964,0.4649785721480969,26.446423318419892,0.027780113747261588
28,2026-01-06T09:03:36.210998,standard,0.44262824398737355,1.758190763830964,0.44262824398737355,25.17521153523297,0.0272509379110458
29,2026-01-06T09:03:36.211000,standard,0.42135223881444794,1.758190763830964,0.42135223881444794,23.965103644177578,0.02673677050033032
30,2026-01-06T09:03:36.211037,deep_understanding,3.8345379663153745,3.8345379663153745,3.8345379663153745,100.0,0
31,2026-01-06T09:03:36.211039,deep_understanding,3.747393170321462,3.8345379663153745,3.747393170321462,97.72737167399465,0.05054398167646922
32,2026-01-06T09:03:36.211041,deep_understanding,3.662228851645947,3.8345379663153745,3.662228851645947,95.50639174307094,0.04996964325413399
33,2026-01-06T09:03:36.211044,deep_understanding,3.579000001400301,3.8345379663153745,3.579000001400301,93.33588643117227,0.04940400655024755
34,2026-01-06T09:03:36.211046,deep_understanding,3.4976626335807457,3.8345379663153745,3.4976626335807457,91.21470863780927,0.04884692324652117
35,2026-01-06T09:03:36.211048,deep_understanding,3.4181737618218855,3.8345379663153745,3.4181737618218855,89.14173733182318,0.048298247721244726
36,2026-01-06T09:03:36.211050,deep_understanding,3.340491376678639,3.8345379663153745,3.340491376678639,87.11587695892689,0.047757836998217756
37,2026-01-06T09:03:36.211052,deep_understanding,3.2645744234244742,3.8345379663153745,3.2645744234244742,85.13605686271035,0.04722555069667459
38,2026-01-06T09:03:36.211054,deep_understanding,3.1903827803542044,3.8345379663153745,3.1903827803542044,83.20123071880438,0.04670125098218483
39,2026-01-06T09:03:36.211056,deep_understanding,3.117877237579878,3.8345379663153745,3.117877237579878,81.31037598190377,0.046184802518509774
40,2026-01-06T09:03:36.211058,deep_understanding,3.0470194763085643,3.8345379663153745,3.0470194763085643,79.46249334535757,0.045676072420394995
41,2026-01-06T09:03:36.211060,deep_understanding,2.9777720485910764,3.8345379663153745,2.9777720485910764,77.65660621304087,0.04517493020728117
42,2026-01-06T09:03:36.211062,deep_understanding,2.910098357530926,3.8345379663153745,2.910098357530926,75.89176018322888,0.044681247757915016
43,2026-01-06T09:03:36.211064,deep_understanding,2.843962637943062,3.8345379663153745,2.843962637943062,74.16702254420078,0.04419489926584164
44,2026-01-06T09:03:36.211065,deep_understanding,2.7793299374521587,3.8345379663153745,2.7793299374521587,72.4814817813065,0.043715761195761794
45,2026-01-06T09:03:36.211067,deep_understanding,2.716166098020475,3.8345379663153745,2.716166098020475,70.83424709523615,0.043243712240736115
46,2026-01-06T09:03:36.211069,deep_understanding,2.6544377378955075,3.8345379663153745,2.6544377378955075,69.22444793123718,0.04277863328022018
47,2026-01-06T09:03:36.211071,deep_understanding,2.594112233967919,3.8345379663153745,2.594112233967919,67.65123351903107,0.042320407338913194
48,2026-01-06T09:03:36.211073,deep_understanding,2.535157704530394,3.8345379663153745,2.535157704530394,66.11377242318555,0.04186891954640493
49,2026-01-06T09:03:36.211075,deep_understanding,2.4775429924283294,3.8345379663153745,2.4775429924283294,64.61125210370552,0.04142405709760454
50,2026-01-06T09:03:36.211077,deep_understanding,2.4212376485934426,3.8345379663153745,2.4212376485934426,63.14287848660999,0.04098570921393603
51,2026-01-06T09:03:36.211081,deep_understanding,2.366211915951602,3.8345379663153745,2.366211915951602,61.70787554426814,0.040553767105285146
52,2026-01-06T09:03:36.211083,deep_understanding,2.312436713696372,3.8345379663153745,2.312436713696372,60.30548488527299,0.04012812393268279
53,2026-01-06T09:03:36.211085,deep_understanding,2.259883621919961,3.8345379663153745,2.259883621919961,58.93496535363539,0.039708674771710424
54,2026-01-06T09:03:36.211087,deep_understanding,2.2085248665934527,3.8345379663153745,2.2085248665934527,57.59559263708724,0.03929531657661311
55,2026-01-06T09:03:36.211089,deep_understanding,2.1583333048883784,3.8345379663153745,2.1583333048883784,56.286658884286155,0.038887948145106314
56,2026-01-06T09:03:36.211091,deep_understanding,2.1092824108318777,3.8345379663153745,2.1092824108318777,55.007472330719864,0.03848647008386262
57,2026-01-06T09:03:36.211094,deep_understanding,2.061346261287864,3.8345379663153745,2.061346261287864,53.757356933112376,0.038090784774665036
58,2026-01-06T09:03:36.211096,deep_understanding,2.0144995222567843,3.8345379663153745,2.0144995222567843,52.53565201213867,0.037700796341213656
59,2026-01-06T09:03:36.211098,deep_understanding,1.9687174354867338,3.8345379663153745,1.9687174354867338,51.3417119032592,0.037316410616572815
60,2026-01-06T09:03:36.211133,emotional_learning,5.092106110102118,5.092106110102118,5.092106110102118,100.0,0
61,2026-01-06T09:03:36.211135,emotional_learning,5.005063698994661,5.092106110102118,5.005063698994661,98.2906402728966,0.05048459844232495
62,2026-01-06T09:03:36.211137,emotional_learning,4.919509155808175,5.092106110102118,4.919509155808175,96.61049965255964,0.05005311674524346
63,2026-01-06T09:03:36.211139,emotional_learning,4.835417047527626,5.092106110102118,4.835417047527626,94.95907867934542,0.049626552097735116
64,2026-01-06T09:03:36.211141,emotional_learning,4.752762375879697,5.092106110102118,4.752762375879697,93.33588643117227,0.049204841462251056
65,2026-01-06T09:03:36.211143,emotional_learning,4.671520569901487,5.092106110102118,4.671520569901487,91.74044037758286,0.04878792266327319
66,2026-01-06T09:03:36.211145,emotional_learning,4.59166747863624,5.092106110102118,4.59166747863624,90.17226623630116,0.04837573437503485
67,2026-01-06T09:03:36.211147,emotional_learning,4.513179363953928,5.092106110102118,4.513179363953928,88.63089783224137,0.04796821610942142
68,2026-01-06T09:03:36.211149,emotional_learning,4.436032893494559,5.092106110102118,4.436032893494559,87.11587695892689,0.04756530820404801
69,2026-01-06T09:03:36.211151,emotional_learning,4.360205133732104,5.092106110102118,4.360205133732104,85.62675324227806,0.047166951810511996
70,2026-01-06T09:03:36.211153,emotional_learning,4.285673543156992,5.092106110102118,4.285673543156992,84.16308400672834,0.04677308888281729
71,2026-01-06T09:03:36.211155,emotional_learning,4.212415965575142,5.092106110102118,4.212415965575142,82.72443414362914,0.04638366216596784
72,2026-01-06T09:03:36.211157,emotional_learning,4.140410623521527,5.092106110102118,4.140410623521527,81.31037598190377,0.04599861518472856
73,2026-01-06T09:03:36.211159,emotional_learning,4.069636111786339,5.092106110102118,4.069636111786339,79.92048916091275,0.045617892232550125
74,2026-01-06T09:03:36.211161,emotional_learning,4.000071391051807,5.092106110102118,4.000071391051807,78.55436050549208,0.045241438360655736
75,2026-01-06T09:03:36.211163,emotional_learning,3.9316957816377833,5.092106110102118,3.9316957816377833,77.21158390312759,0.04486919936728761
76,2026-01-06T09:03:36.211165,emotional_learning,3.8644889573542445,5.092106110102118,3.8644889573542445,75.89176018322888,0.044501121787110416
77,2026-01-06T09:03:36.211167,emotional_learning,3.7984309394588727,5.092106110102118,3.7984309394588727,74.59449699846688,0.044137152880769547
78,2026-01-06T09:03:36.211169,emotional_learning,3.7335020907179284,5.092106110102118,3.7335020907179284,73.31940870813975,0.043777240624601664
79,2026-01-06T09:03:36.211186,emotional_learning,3.669683109568633,5.092106110102118,3.669683109568633,72.06611626353246,0.04342133370049586
80,2026-01-06T09:03:36.211188,emotional_learning,3.6069550243813513,5.092106110102118,3.6069550243813513,70.83424709523614,0.04306938148590224
81,2026-01-06T09:03:36.211189,emotional_learning,3.5452991878198437,5.092106110102118,3.5452991878198437,69.62343500239325,0.04272133404398663
82,2026-01-06T09:03:36.211192,emotional_learning,3.484697271297928,5.092106110102118,3.484697271297928,68.43332004383635,0.04237714211392865
83,2026-01-06T09:03:36.211193,emotional_learning,3.42513125953089,5.092106110102118,3.42513125953089,67.26354843108723,0.0420367571013614
84,2026-01-06T09:03:36.211195,emotional_learning,3.36658344518004,5.092106110102118,3.36658344518004,66.11377242318554,0.04170013106895022
85,2026-01-06T09:03:36.211198,emotional_learning,3.309036423588802,5.092106110102118,3.309036423588802,64.98365022331481,0.041367216727108934
86,2026-01-06T09:03:36.211200,emotional_learning,3.252473087608793,5.092106110102118,3.252473087608793,63.872845877195736,0.0410379674248511
87,2026-01-06T09:03:36.211203,emotional_learning,3.1968766225143317,5.092106110102118,3.1968766225143317,62.781029173216126,0.04071233714077467
88,2026-01-06T09:03:36.211206,emotional_learning,3.1422305010038887,5.092106110102118,3.1422305010038887,61.70787554426814,0.04039028047417761
89,2026-01-06T09:03:36.211207,emotional_learning,3.0885184782869692,5.092106110102118,3.0885184782869692,60.653065971263345,0.04007175263630297
