trial_id,timestamp,sequence,M4D_score,M4D,accuracy,speed,quality,composite_score
28,2026-01-06T09:03:36.212188,standard,1.1490260970634432,1.1490260970634432,28.72565242658608,11.49026097063443,1.1813970203453934,13.799103472521969
29,2026-01-06T09:03:36.212218,standard,1.1490260970634432,1.1490260970634432,28.72565242658608,11.49026097063443,1.1813970203453934,13.799103472521969
30,2026-01-06T09:03:36.212248,deep_understanding,2.571166462051445,2.571166462051445,64.27916155128612,25.711664620514448,3.105676626136635,31.0321675993124
31,2026-01-06T09:03:36.212279,deep_understanding,2.571166462051445,2.571166462051445,64.27916155128612,25.711664620514448,3.105676626136635,31.0321675993124
32,2026-01-06T09:03:36.212309,deep_understanding,2.571166462051445,2.571166462051445,64.27916155128612,25.711664620514448,3.105676626136635,31.0321675993124
33,2026-01-06T09:03:36.212339,emotional_learning,3.4726161904733175,3.4726161904733175,86.81540476183294,34.726161904733175,4.454389018141975,41.9986518949027
34,2026-01-06T09:03:36.212369,emotional_learning,3.4726161904733175,3.4726161904733175,86.81540476183294,34.726161904733175,4.454389018141975,41.9986518949027
35,2026-01-06T09:03:36.212399,emotional_learning,3.4726161904733175,3.4726161904733175,86.81540476183294,34.726161904733175,4.454389018141975,41.9986518949027
36,2026-01-06T09:03:36.212432,standard,1.8177872225363751,1.8177872225363751,45.44468056340938,18.17787222536375,2.0485739962522875,21.890375595008475
37,2026-01-06T09:03:36.212463,standard,1.8177872225363751,1.8177872225363751,45.44468056340938,18.17787222536375,2.0485739962522875,21.890375595008475
38,2026-01-06T09:03:36.212493,standard,1.8177872225363751,1.8177872225363751,45.44468056340938,18.17787222536375,2.0485739962522875,21.890375595008475
39,2026-01-06T09:03:36.212525,deep_understanding,3.959831775564907,3.959831775564907,95,39.59831775564907,5.2144929372575115,46.604270230968865
40,2026-01-06T09:03:36.212557,deep_understanding,3.959831775564907,3.959831775564907,95,39.59831775564907,5.2144929372575115,46.604270230968865
41,2026-01-06T09:03:36.212589,deep_understanding,3.959831775564907,3.959831775564907,95,39.59831775564907,5.2144929372575115,46.604270230968865
42,2026-01-06T09:03:36.212619,emotional_learning,5.277085140688277,5.277085140688277,95,52.77085140688277,7.359917079530153,51.71025616213765
43,2026-01-06T09:03:36.212650,emotional_learning,5.277085140688277,5.277085140688277,95,52.77085140688277,7.359917079530153,51.71025616213765
44,2026-01-06T09:03:36.212681,emotional_learning,5.277085140688277,5.277085140688277,95,52.77085140688277,7.359917079530153,51.71025616213765
